Registration,Name,Breed,Variety,Color,Sex,Birth_Date,Sire,Dam,AppNum,CHIC,Test_Date,Age(mos),Registry,Results,OFA_#,Registration_Results_Num,Sire_Results_Num,Sire_Sire,Sire_Dam,Dam_Results_Num,Dam_Sire,Dam_Dam,Sire_Sire_Results_Num,Sire_Sire_Sire,Sire_Sire_Dam,Sire_Dam_Results_Num,Sire_Dam_Sire,Sire_Dam_Dam,Dam_Sire_Results_Num,Dam_Sire_Sire,Dam_Sire_Dam,Dam_Dam_Results_Num,Dam_Dam_Sire,Dam_Dam_Dam,Sire_Sire_Sire_Results_Num,Sire_Sire_Dam_Results_Num,Sire_Dam_Sire_Results_Num,Sire_Dam_Dam_Results_Num,Dam_Sire_Sire_Results_Num,Dam_Sire_Dam_Results_Num,Dam_Dam_Sire_Results_Num,Dam_Dam_Dam_Results_Num,Registration_Parents_Results_Num,Sire_Parents_Results_Num,Dam_Parents_Results_Num,Sire_Sire_Parents_Results_Num,Sire_Dam_Parents_Results_Num,Dam_Sire_Parents_Results_Num,Dam_Dam_Parents_Results_Num
DN25736902,LAUREATE'S VINTNER'S RESERVE,BOUVIER DES FLANDRES,,BRINDLE,M,Jul 21 2009 ,DN08392507,DN15388901,1496243,77232.0,Nov  6 2011 ,27,HIPS,GOOD,BF-6640G27M-VPI,1.0,1.0,DL74175102,DL74618102,1.0,DL79000411,DN02374401,1.0,DL40883506,DL54464801,2.0,DL61565302,DL54958503,2.0,DL40883506,DL54464801,1.0,DL61784303,DL73936801,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.5,2.0,2.5,1.5,2.0,1.5,1.5
DN31958704,LAZE J'S BACKSTAGE PASS,BOUVIER DES FLANDRES,,GRAY BRINDLE,F,Sep 10 2011 ,DN18268801,DN22890201,1751878,,Aug 28 2015 ,47,HIPS,EXCELLENT,BF-7149E47F-VPI,0.0,1.0,DN01673602,DN02594601,1.0,DL84179507,DN07251201,1.0,DL84179507,DL80643001,1.0,DL84179507,DL62480009,2.0,DL73388101,DL84179507,2.0,DN02348501,DL82389702,2.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.5,1.5,3.0,2.5,2.5,2.0,2.0
DN33528601,LAZE J'S GOT THE MOVES LIKE JAGGER,BOUVIER DES FLANDRES,,GRAY BRINDLE,M,Feb 10 2012 ,DN22890203,DN21530701,1667889,,Aug  1 2014 ,29,HIPS,GOOD,BF-7002G29M-VPI,1.0,1.0,DL84179507,DN07251201,0.0,DN05754202,DN02594601,2.0,DL73388101,DL84179507,2.0,DN02348501,DL82389702,1.0,DL82011602,DL77507601,1.0,DL84179507,DL62480009,1.0,2.0,1.0,2.0,0.0,2.0,2.0,1.0,1.0,3.0,1.5,2.0,2.0,1.0,2.5
DN33528602,LAZE J'S JUST RAIZING CAIN D' ORAGE,BOUVIER DES FLANDRES,,BRINDLE,F,Feb 10 2012 ,DN22890203,DN21530701,1651089,,Apr 10 2014 ,26,HIPS,GOOD,BF-6970G26F-VPI,1.0,1.0,DL84179507,DN07251201,0.0,DN05754202,DN02594601,2.0,DL73388101,DL84179507,2.0,DN02348501,DL82389702,1.0,DL82011602,DL77507601,1.0,DL84179507,DL62480009,1.0,2.0,1.0,2.0,0.0,2.0,2.0,1.0,1.0,3.0,1.5,2.0,2.0,1.0,2.5
DN51239603,LAZE J'S MARGOT PEARL OF BLEU BLAZES,BOUVIER DES FLANDRES,,FAWN,F,Sep 19 2017 ,DN33528601,DN31958701,2094400,,Sep 30 2019 ,24,HIPS,EXCELLENT,BF-7620E24F-VPI,0.0,1.0,DN22890203,DN21530701,1.0,DN18268801,DN22890201,1.0,DL84179507,DN07251201,0.0,DN05754202,DN02594601,1.0,DN01673602,DN02594601,1.0,DL84179507,DN07251201,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.5,1.0,1.5,3.0,1.5,1.5,3.0
DN33528603,LAZE J'S NEON LIGHTS 'ND HOLLYWOOD HEIGHTS,BOUVIER DES FLANDRES,,BLACK,F,Feb 10 2012 ,DN22890203,DN21530701,1671874,,Aug 22 2014 ,30,HIPS,GOOD,BF-7010G30F-VPI,1.0,1.0,DL84179507,DN07251201,0.0,DN05754202,DN02594601,2.0,DL73388101,DL84179507,2.0,DN02348501,DL82389702,1.0,DL82011602,DL77507601,1.0,DL84179507,DL62480009,1.0,2.0,1.0,2.0,0.0,2.0,2.0,1.0,1.0,3.0,1.5,2.0,2.0,1.0,2.5
DN42906702,LAZE J'S ONCE IN A BLUE MOON,BOUVIER DES FLANDRES,,FAWN,F,Mar  9 2015 ,DN33528601,DN31958704,1976748,,May 24 2018 ,38,HIPS,GOOD,BF-7475G38F-PI,1.0,1.0,DN22890203,DN21530701,0.0,DN18268801,DN22890201,1.0,DL84179507,DN07251201,0.0,DN05754202,DN02594601,1.0,DN01673602,DN02594601,1.0,DL84179507,DN07251201,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.5,3.0,1.5,1.5,3.0
DN31958701,LAZE J'S OUT OF THE ASHES,BOUVIER DES FLANDRES,,GRAY BRINDLE,F,Sep 10 2011 ,DN18268801,DN22890201,1667146,,Jul 28 2014 ,34,HIPS,GOOD,BF-7001G34F-VPI,1.0,1.0,DN01673602,DN02594601,1.0,DL84179507,DN07251201,1.0,DL84179507,DL80643001,1.0,DL84179507,DL62480009,2.0,DL73388101,DL84179507,2.0,DN02348501,DL82389702,2.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.5,1.5,3.0,2.5,2.5,2.0,2.0
DN51239606,LAZE J'S PRANCING PEACHES,BOUVIER DES FLANDRES,,GRAY BRINDLE,F,Sep 19 2017 ,DN33528601,DN31958701,2170846,,Aug 28 2020 ,35,HIPS,GOOD,BF-7705G35F-PI,1.0,1.0,DN22890203,DN21530701,1.0,DN18268801,DN22890201,1.0,DL84179507,DN07251201,0.0,DN05754202,DN02594601,1.0,DN01673602,DN02594601,1.0,DL84179507,DN07251201,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.5,1.0,1.5,3.0,1.5,1.5,3.0
DN46592204,LAZE J'S VIVIEN LEIGH,BOUVIER DES FLANDRES,,BRINDLE,F,Apr 27 2016 ,DN33528601,DN31958701,2000565,,May  8 2018 ,24,HIPS,FAIR,BF-7500F24F-NOPI,2.0,1.0,DN22890203,DN21530701,1.0,DN18268801,DN22890201,1.0,DL84179507,DN07251201,0.0,DN05754202,DN02594601,1.0,DN01673602,DN02594601,1.0,DL84179507,DN07251201,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.5,1.0,1.5,3.0,1.5,1.5,3.0
